date,user,review
24 April 2019,raudafitriani,"There is no way that I could describe my emotions for this movie. I'm totally speechless. I haven't laughed (even cried) this much in Marvel movie or even in any movie. I'm fully on my emotion, there are so many tears of joy and loss. Amazing story, the acting is outstanding, epic action, great CGI, the best storytelling ever told in a superhero movie, amazing performance. I love it more than 3000.

Happiness, sadness, pure joy, excitement... I'm gonna miss this moment in my whole life because let's face it- it's been awhile movies can bring such a big enthusiasm like this.

It is such an experience you'll gonna remember it forever. People are clapping, laughing, crying, full of a state emotion. It's 3 hours long but it went by like a finger snapping by Thanos, and now I'm thinking I'm actually in Quantum Realm because it felt like 5 seconds. Even though you know where the story is gonna bring you because it's still a 'superhero movie' but it left me speechless. It's not just a superhero movie, it's more than that.

**SPOILER ALERT**

Even some characters that you didn't like before, you will love them in this movie. Like Captain Marvel. I didn't like her before in her own movie but in Endgame they showed how powerful, how strong and how capable she really is. And now I kinda love her! But Marvel should really be careful of her line though, I didn't like some of her line like ""I'm the strongest"" and ""You didn't win because before you didn't have me"" duh. Also not gonna forget Hawkeye. To be honest, in Avengers I really didn't like Hawkeye because he's just a 'guy' with an arrow and just randomly showed up in any scene but actually he's character is so BADASS! Everything that we need, what we want is here.

Also I don't get it why some people can not accept that Thor is fat or treat him like a joke. I mean, this movie might be trying to give us a message about no matter what 'shape' are you, you can be a hero and save the world. To be honest, I like what they did to Thor, that man is depressed and taking the most responsible after he missed the shot to kill Thanos in Infinity War. Even though he already did killed him but it's not gonna bring back his people of Asgard. Also he's God of Thunder for god sake, he could slap his stomach with thunder and got his abs back.

I'm so happy too for Captain America. Finally he could do his dance with Peggy and I didn't expected that we could see the fight between Captain America with his own self. Also when Tony met his father really warm my heart, and we can see the 'real-life' Jarvis - I didn't expected that too.

When the whole superhero arrived it is so EPIC! The whole person in theater are screaming and shocked. Gives me a goosebumps and still left me speechless!

This movie is absolute perfection. The ending of this movie is we and the characters deserved. It gives a perfect balance for all these past 10 years. Epic and perfect ending, I was not disappointed at all. This movie was completely emotional and visually stunning. Now I get it why the Russo Brothers told us to do a Marvel Movie marathon before watching Endgame because this movie had everything to accomplish what left behind before all of this.

Ready or not, whatever it takes.

Go watch it for yourself."
25 April 2019,ahmetkozan,"After Avengers Infinity War, we waited for the Avengers Endgame. We wondered how the story would go on, how our heroes would turn back, what would be the end of Thanos. Many theories related to this have been put forward. Avengers Endgame was undoubtedly the most anticipated film of recent years. Normally, the higher the expectation, the higher the probability of disappointment. But this is not the case for Endgame. Whatever you're expecting, you find much more in the film. This means that the biggest concern about the film has disappeared.

On the other hand, another comparison comes up. Is Endgame more successful than Infinity War? We can comfortably say it Avengers Infinity War is just the beginning of the story. Endgame was the finale of the story. So we shouldn't think of these two films as two separate stories. There is only one story divided into two parts.

Avengers Endgame is, above all, a great homage to the ten-year history of the Marvel Cinematic Universe. The story highlights the original Avengers team. Iron Man, Captain America, Thor, Hulk, Black Widow and Hawkeye are at the center of events. No character comes in front of them. Of course there are many characters that play an important role in the story outside the original Avengers team. Everyone's concern was that Captain Marvel, who was included in the Marvel world, overshadowed other heroes. We can say that this certainly did not happen. What is important in this struggle is not how strong you are, but how good you are. This comes to the fore in all areas. It gives good message about being a hero and a family.

Of course, Avengers Endgame has some critical aspects. For example, is the three-hour period necessary in terms of the story? It can be discussed. The head of the story moves much slower than the rest. It also drags the heroes into an emotional predicament. Then the tempo is rising and the heavy scenes we are watching are getting more meaningful. The last 45 minutes of the movie is fully action packed. But the last 45 minutes goes so fast that you don't even realize it. Action and battle scenes are really successful. There is not even a slight distress about visual effects. There are also slight logic errors in the film, but in general the story is so successful that these details become meaningless and insignificant after a certain point.

Lastly, Avengers Endgame doesn't have a movie end scene. Because after the film's final, there is no need for another scene. The Marvel legend Stan Lee appears with a small stage. But this is the last surprise scene in the Marvel Cinematic Universe. Moreover, there is no clue about Marvel's future. This makes us wonder more about Spider-Man: Far from Home. 10/10"
26 April 2019,theroo200182,"I have to say, my first reaction walking out of the cinema was that it was great. Probably an 8/10. You know there's so much fan service in this movie and I particularly loved the ""I can do this all day"" CA line from one CA to another. It was almost Toy Story 2, enlightened Buzz to naive Buzz banter.

I loved Clever Hulk, found Thor hilarious, though a bit annoying at times, and loved the references to past movies. Cap swinging Mjollnir around was beautiful.

The deaths in this movie were also pretty surprising but I agree with some of the more balanced reviews in here that it was bizarre that so much time was spent on Hawkeye - does anyone really care about him? Not really.

Killing off Black Widow was a surprising touch, but I, like many others, probably felt more of an emotional reaction to Banner's relationship with her and not Hawkeye (because no one actually cares about him). Renner, as an actor, just doesn't cut it much, unfortunately.

The real problem with End Game, is the time travel. I don't know why any movie franchise would ever want to deal with time travel knowing how much grief it creates. Sure they try to explain everything with their hilarious conversation about movies, but in the end, there are just too many questions left at the end of the day, particularly when they already try to explain it through the Ancient One.

The most glaring one of these is, if they change the past, they're changing another timeline, so how selfish is that? If Tony Stark snaps his fingers and kills Thanos, what happens to that original timeline? If he sent Thanos and everyone back, how does he magically know not to send Gamora back who is now stuck in 2023 - and so does that mean 2014 Quill never meets Gamora?!? What the hell? Essentially erasing the entire 2014 GOTG franchise in that universe. If Captain America goes back in time, he will inevitably change history in some way or another, so that is another timeline, right? So while everyone else's timeline is meant to stay the same in the present (as said by Stark) how does Cap end up sitting by the same lake as everyone else.

There are also way too many questions about new timelines created - but perhaps that is intentional, such as the Loki TV show. But this is why I hate it when they bring time travel into any movie and just add stuff to it to make it wrap up nicely in their own universe.

Also, don't get me started on how impossibly strong Thanos suddenly is without an infinity gauntlet? Even WITH the IG he couldn't stop Thor's Stormbringer, but now without the IG can easily defeat Thor with Stormbringer AND Mjollnir, Iron Man and Cap??? How convenient.

I also think Marvel made a serious mistake creating Captain Marvel, how is she brought in as a convenient deus ex machina and yet doesn't really stick around to show off all her abilities, and she can't even defeat Thanos single handedly? Pfft. That was rich. She can barely prevent Thanos from snapping his fingers, yet in Infinity War, Cap was able to actually hold off his hand too? Bizarre parallels.

So okay, sure, it was enjoyable to watch, but I just feel that there are too many plot inconsistencies creeping into End Game. There should have been better ways to get the infinity stones back, and I think someone stupid just thought time travel was the best way to do it,."
8 August 2019,sourabh_sarma,"Tone,pacing, character arcs, plot holes, emotional connect, logical depth,story,cgi,propagandas,Plot convenience,lazy writing.Overrated, Overhyped fan service cashgrab."
14 August 2019,ckmatt-77267,"Watched last evening on Blu-Ray and was quite disappointed. Should have streamed it for a lot less. What in the world is going on with the writers and producers these days. Plot was weak at best. Time Paradox was poorly done. Character development bordered on the ridiculous. Thor was made into a bumbling drunk idiot, Hulk was....I don't know, some kind of a cross between Banner/Hulk working in a diner, and was nearly useless like in Infinity Wars, Captain American now has and can wields Thors' hammer. What in the world is going on! This unfortunate change started surface with Infinity Wars. They also made sure all the politically correct stuff was jammed right in there. The first two remain the best, don't even bother with the others. Sad!!"
15 July 2019,singh_nyc,"This was probably one of the worst movie I have seen, even on the Marvel scale. How can they take so many talented actors and make this non-sense? I laughed every time emotional drama came. Instead of tears, I was was feeling pity for myself. I hope this is really the endgame. But I doubt."
9 August 2019,loocsinatas,"-spoilers!-

-Iron man had to go talk to his dad in the past, Thor had to talk to his mom, Hawkeye got to go see his old dead girlfriend.. How convenient that all the stones were in the past directly next to the main characters loved ones. Nobody had to go hundreds of years in the past or anything? Nope all the stones were just a generation away hanging out with your parents so you could go reconnect with them and get emotional.

-Tons of plot holes with time travel. We were told it creates a split in the timeline when they time travel, creating a whole new timeline. Sooo.. What happened to the old timeline they left behind to go back in time to defeat Thanos? Does this mean there is a timeline where all the superheroes abandoned the world to go back in time? And at the end when Captain America went back in time, shouldn't it have created a new timeline for him as well? Instead of him being able to meet up with them when he was old? Although this doesn't bother me as much as the other point of this review, it did make the story feel a little hollow and vague.

-Felt like there was only 1 single battle sequence in this movie. Aren't there usually a few smaller battles before the final epic one? It was like 2.5 hours of drama and feelings and ""oh I miss my mom"" and only about 12 minutes of good fighting. The fighting was also so cut up, trying to give every hero a great cameo, that no fight scene lasted longer than 10 seconds without being cut. Even after Iron man gives Thanos a long pre-fight speech it only shows about 2 seconds of fighting before they cut away.

-They kill Thanos in the beginning super easily, no effort, kinda upsetting. This made the entire previous movie feel like a waste. (even though it was a much better movie)

-The Hulk made me cringe. They've changed his character so drastically he's not even the hulk anymore. He doesn't get angry, he doesn't regenerate (either does Captain in this movie), he doesn't smash. He's always in green form. They explain all of the above with, oh I shot myself with some gamma rays. THEN LATER WHEN HE PUTS ON THE GLOVE THEY SAY THE HULK IS PRETTY MUCH IMMUNE TO GAMMA RAYS?! Ugh. He also mentions how he was trying to fight the hulk, but then he realized the hulk is the cure. What is he the cure to if he cant regenerate anymore? I miss the old Edward Norton Hulk to be completely honest.

-Personally, I hated Captain Marvel. I hate the actor, I hate the character, I hate her vague god like powers, I hate how she randomly shows up in this movie even though she wasn't in any of the others. I hate how she only shows up for a few minutes in the beginning and a few seconds at the end.

-Literally the best scene in the movie is at the very end, when Thor and StarLord are arguing about who's in charge of the ship."
7 June 2019,esraamajed,"I feel they ran out of ideas, and BANG time machine is the solution. They should have prepared themselves for the end before that. for example in sherlock holmes "" the series"" they prepared for the season final ""the Final Problem"",, 2 seasons before it, saying words or giving hints that something is going to happen. I was really disappointed with this movie."
4 August 2019,hphatngo,There are so many nonsense point in this movie. Wasted my 3hrs. I'm very very DISAPPOINTED.
18 June 2019,louis-170,One of the best comic book movie villains was ruined. Who writes this thing? Time travel? Really? Result: Film full of plot holes. Unsatisfying deaths of main characters Tony and Natasha. Previously cool - now ruined characters Thor and Hulk. I feel like Thanos today.
28 May 2019,stomes85,"What they did to Hulk and Thor was disgusting. The best action Hulk had was handing tacos to Antman. They turned him into taco Tuesday Hulk with no redemption or rematch for Thanos.

Fat alcoholic self pity Thor was not funny and for a demi god he turned out to be league bowler from crap town Ohio. Appalling and gross! Oh, support group Cap was another miss. They turned the women into men and the men into women straight up Hollywood style. 👎👎"
24 April 2019,SharkByteAudioProductions,"This is probably the highest 8/10 I could give for an 8/10 movie.

There are some very good moments in Endgame and that's coming from a long standing MCU fan growing up with these movies. In creating an extensive and emotional journey for a lot of the MCU characters, it absolutely succeeds.

Endgame ultimately is an excellent conclusion to over 10 years of film but I feel the plot's pacing and direction is really lacking to Infinity War, which 'trimmed the fat' and was much more focused and energetic. Granted, Endgame takes risks but this might be a disappointment to some fans with its slower pace that focuses on character development over action and intense sequences. The run time probably should be shorter or streamlined. Less cuts and motion blur during fight scenes would've made it easier to track fights as well.

Respect for the Russo Brothers for taking the direction they did with Endgame and it really does satisfy but Infinity War is overall a more entertaining movie. It's not the best MCU movie but I can't dispute its great conclusion."
11 June 2019,javadtnabadi,"They cant kill the main charectors, just learn from got."
11 August 2019,006_donny,"I had no choice but to watch it to finish the sequence. The worst of all the Avengers movies. Apart from some action scenes all the rest it is pure lame dialogues and poor performances. Purely made to make money out of a ""trendy"" public that are rating this movie high because I've never met one single person who has read the comics and like this garbage. At least, there will be no more of this, I hope."
7 August 2019,philippepack,"And that's the best part of the movie ... I had my doubts about the Russo brothers, but now I know. Stop making movies, please ..."
